eval_index,parego_mean_hv,parego_raw_std_hv,parego_plot_band,parego_lower,parego_upper,llmbo_mo_mean_hv,llmbo_mo_raw_std_hv,llmbo_mo_plot_band,llmbo_mo_lower,llmbo_mo_upper
31,1.4856585249080614,0.11015180113218027,0.11015180113218027,1.3755067237758811,1.5958103260402416,1.8529435980155462,0.009431116042340855,0.009431116042340855,1.8435124819732054,1.862374714057887
32,1.4857212933220407,0.11012900995266743,0.11012900995266743,1.3755922833693732,1.5958503032747082,1.853199567915016,0.00935165386521949,0.00935165386521949,1.8438479140497965,1.8625512217802354
33,1.4867571282100163,0.10941411105524126,0.10941411105524126,1.377343017154775,1.5961712392652576,1.85434225604251,0.009108673219240788,0.009108673219240788,1.8452335828232693,1.8634509292617507
34,1.4871517623339279,0.10976010932776839,0.10976010932776839,1.3773916530061594,1.5969118716616963,1.854436972227441,0.009166909490925844,0.009166909490925844,1.845270062736515,1.8636038817183669
35,1.4942782578830385,0.11551966568946015,0.11551966568946015,1.3787585921935783,1.6097979235724986,1.8558248671999216,0.007887999484846043,0.007887999484846043,1.8479368677150756,1.8637128666847675
36,1.4943424105324756,0.1155618590823411,0.1155618590823411,1.3787805514501346,1.6099042696148167,1.8569335361898638,0.007677349961211802,0.007677349961211802,1.849256186228652,1.8646108861510755
37,1.4946791794646266,0.11537352001262963,0.11537352001262963,1.379305659451997,1.6100526994772562,1.8570569195903612,0.00754839053333869,0.00754839053333869,1.8495085290570226,1.8646053101237
38,1.5303904196841496,0.10369323238883216,0.10369323238883216,1.4266971872953174,1.6340836520729818,1.8578190627755315,0.006819172142775117,0.006819172142775117,1.8509998906327565,1.8646382349183066
39,1.5783383304068426,0.01446066122486067,0.01446066122486067,1.563877669181982,1.5927989916317031,1.8593852651873561,0.005839297768865014,0.005839297768865014,1.853545967418491,1.8652245629562212
40,1.5785866487351228,0.01439902392356744,0.01439902392356744,1.5641876248115554,1.5929856726586902,1.8599534760198548,0.005513971360678637,0.005513971360678637,1.8544395046591762,1.8654674473805335
41,1.5788502630784544,0.014298236736595908,0.014298236736595908,1.5645520263418586,1.5931484998150502,1.8609366971916619,0.005360025973828772,0.005360025973828772,1.8555766712178332,1.8662967231654906
42,1.5794330419936642,0.01394840391982858,0.01394840391982858,1.5654846380738356,1.5933814459134927,1.8630655564988725,0.004839476274826673,0.004839476274826673,1.8582260802240458,1.8679050327736992
43,1.579588249916106,0.013760411236777077,0.013760411236777077,1.565827838679329,1.593348661152883,1.8635402005400743,0.0046802525120605044,0.0046802525120605044,1.8588599480280137,1.868220453052135
44,1.5829568654667292,0.013112551293359545,0.013112551293359545,1.5698443141733696,1.5960694167600888,1.8652782174540778,0.0032983514386092133,0.0032983514386092133,1.8619798660154687,1.868576568892687
45,1.5830708059872545,0.013139862731378016,0.013139862731378016,1.5699309432558763,1.5962106687186326,1.8654937185634346,0.0033953529017230755,0.0033953529017230755,1.8620983656617116,1.8688890714651576
46,1.584258469535061,0.012013657648221638,0.012013657648221638,1.5722448118868393,1.5962721271832827,1.866281036876528,0.0027455719133209285,0.0027455719133209285,1.863535464963207,1.8690266087898488
47,1.5843564719936358,0.012088267788702792,0.012088267788702792,1.572268204204933,1.5964447397823387,1.8664645555196486,0.0025598113317274675,0.0025598113317274675,1.863904744187921,1.8690243668513762
48,1.5851221637804702,0.011902856942132726,0.011902856942132726,1.5732193068383376,1.5970250207226029,1.8667971366337859,0.002372100937160106,0.002372100937160106,1.8644250356966259,1.8691692375709459
49,1.5854305757663867,0.011866100953769025,0.011866100953769025,1.5735644748126176,1.5972966767201557,1.8670008614108895,0.002173284601088732,0.002173284601088732,1.8648275768098008,1.8691741460119782
50,1.5854444741860836,0.011851232901470233,0.011851232901470233,1.5735932412846134,1.5972957070875538,1.8670349939219322,0.0021392257670262175,0.0021392257670262175,1.8648957681549059,1.8691742196889585
51,1.585654444790633,0.011991308885592623,0.011991308885592623,1.5736631359050406,1.5976457536762256,1.867034999621891,0.002139225976483595,0.002139225976483595,1.8648957736454073,1.8691742255983745
52,1.5858877817699262,0.011997108257112518,0.011997108257112518,1.5738906735128138,1.5978848900270386,1.8672375887186454,0.00224492585004084,0.00224492585004084,1.8649926628686047,1.8694825145686862
53,1.5859365573768982,0.011947869519008095,0.011947869519008095,1.5739886878578901,1.5978844268959063,1.8678156621011681,0.002243326467299337,0.002243326467299337,1.8655723356338687,1.8700589885684675
54,1.5861276833384514,0.011854248959590297,0.011854248959590297,1.5742734343788611,1.5979819322980418,1.8682972813502778,0.0023923592604570662,0.0023923592604570662,1.8659049220898207,1.870689640610735
55,1.5863835620994375,0.011819821264551734,0.011819821264551734,1.5745637408348858,1.5982033833639893,1.8683961947168382,0.002429862311777714,0.002429862311777714,1.8659663324050604,1.870826057028616
56,1.5865626975702702,0.011620830370040322,0.011620830370040322,1.57494186720023,1.5981835279403105,1.8684172232658676,0.0024423480464339457,0.0024423480464339457,1.8659748752194336,1.8708595713123015
